year,week,loc,state,country,loc_type,number,event
1927,47,COLORADO,CO,US,STATE,17,CASES
1927,48,COLORADO,CO,US,STATE,2,CASES
1927,49,COLORADO,CO,US,STATE,11,CASES
1927,51,COLORADO,CO,US,STATE,16,CASES
1927,52,COLORADO,CO,US,STATE,4,CASES
1928,1,COLORADO,CO,US,STATE,85,CASES
1928,2,COLORADO,CO,US,STATE,61,CASES
1928,3,COLORADO,CO,US,STATE,29,CASES
1928,4,COLORADO,CO,US,STATE,139,CASES
1928,5,COLORADO,CO,US,STATE,52,CASES
1928,6,COLORADO,CO,US,STATE,82,CASES
1928,7,COLORADO,CO,US,STATE,40,CASES
1928,8,COLORADO,CO,US,STATE,44,CASES
1928,9,COLORADO,CO,US,STATE,30,CASES
1928,10,COLORADO,CO,US,STATE,41,CASES
1928,11,COLORADO,CO,US,STATE,34,CASES
1928,12,COLORADO,CO,US,STATE,25,CASES
1928,13,COLORADO,CO,US,STATE,44,CASES
1928,14,COLORADO,CO,US,STATE,183,CASES
1928,15,COLORADO,CO,US,STATE,86,CASES
1928,16,COLORADO,CO,US,STATE,102,CASES
1928,17,COLORADO,CO,US,STATE,96,CASES
1928,18,COLORADO,CO,US,STATE,184,CASES
1928,19,COLORADO,CO,US,STATE,20,CASES
1928,20,COLORADO,CO,US,STATE,139,CASES
1928,21,COLORADO,CO,US,STATE,126,CASES
1928,23,COLORADO,CO,US,STATE,67,CASES
1928,24,COLORADO,CO,US,STATE,85,CASES
1928,25,COLORADO,CO,US,STATE,59,CASES
1928,26,COLORADO,CO,US,STATE,9,CASES
1928,27,COLORADO,CO,US,STATE,47,CASES
1928,28,COLORADO,CO,US,STATE,49,CASES
1928,29,COLORADO,CO,US,STATE,36,CASES
1928,30,COLORADO,CO,US,STATE,16,CASES
1928,31,COLORADO,CO,US,STATE,10,CASES
1928,32,COLORADO,CO,US,STATE,11,CASES
1928,33,COLORADO,CO,US,STATE,6,CASES
1928,34,COLORADO,CO,US,STATE,2,CASES
1928,36,COLORADO,CO,US,STATE,4,CASES
1928,37,COLORADO,CO,US,STATE,5,CASES
1928,39,COLORADO,CO,US,STATE,1,CASES
1928,41,COLORADO,CO,US,STATE,2,CASES
1928,42,COLORADO,CO,US,STATE,2,CASES
1928,43,COLORADO,CO,US,STATE,4,CASES
1928,44,COLORADO,CO,US,STATE,5,CASES
1928,45,COLORADO,CO,US,STATE,2,CASES
1928,46,COLORADO,CO,US,STATE,4,CASES
1928,47,COLORADO,CO,US,STATE,8,CASES
1928,48,COLORADO,CO,US,STATE,10,CASES
1928,49,COLORADO,CO,US,STATE,3,CASES
1928,50,COLORADO,CO,US,STATE,2,CASES
1928,52,COLORADO,CO,US,STATE,4,CASES
1929,1,COLORADO,CO,US,STATE,9,CASES
1929,2,COLORADO,CO,US,STATE,13,CASES
1929,3,COLORADO,CO,US,STATE,12,CASES
1929,4,COLORADO,CO,US,STATE,2,CASES
1929,5,COLORADO,CO,US,STATE,10,CASES
1929,6,COLORADO,CO,US,STATE,4,CASES
1929,7,COLORADO,CO,US,STATE,8,CASES
1929,8,COLORADO,CO,US,STATE,4,CASES
1929,9,COLORADO,CO,US,STATE,3,CASES
1929,10,COLORADO,CO,US,STATE,16,CASES
1929,11,COLORADO,CO,US,STATE,10,CASES
1929,12,COLORADO,CO,US,STATE,11,CASES
1929,13,COLORADO,CO,US,STATE,24,CASES
1929,14,COLORADO,CO,US,STATE,27,CASES
1929,15,COLORADO,CO,US,STATE,18,CASES
1929,16,COLORADO,CO,US,STATE,18,CASES
1929,17,COLORADO,CO,US,STATE,6,CASES
1929,18,COLORADO,CO,US,STATE,29,CASES
1929,20,COLORADO,CO,US,STATE,35,CASES
1929,21,COLORADO,CO,US,STATE,22,CASES
1929,22,COLORADO,CO,US,STATE,237,CASES
1929,23,COLORADO,CO,US,STATE,9,CASES
1929,24,COLORADO,CO,US,STATE,21,CASES
1929,25,COLORADO,CO,US,STATE,19,CASES
1929,26,COLORADO,CO,US,STATE,13,CASES
1929,27,COLORADO,CO,US,STATE,6,CASES
1929,28,COLORADO,CO,US,STATE,7,CASES
1929,29,COLORADO,CO,US,STATE,3,CASES
1929,30,COLORADO,CO,US,STATE,7,CASES
1929,31,COLORADO,CO,US,STATE,8,CASES
1929,32,COLORADO,CO,US,STATE,3,CASES
1929,33,COLORADO,CO,US,STATE,5,CASES
1929,34,COLORADO,CO,US,STATE,10,CASES
1929,35,COLORADO,CO,US,STATE,3,CASES
1929,36,COLORADO,CO,US,STATE,4,CASES
1929,37,COLORADO,CO,US,STATE,6,CASES
1929,38,COLORADO,CO,US,STATE,2,CASES
1929,39,COLORADO,CO,US,STATE,6,CASES
1929,40,COLORADO,CO,US,STATE,3,CASES
1929,41,COLORADO,CO,US,STATE,3,CASES
1929,42,COLORADO,CO,US,STATE,4,CASES
1929,43,COLORADO,CO,US,STATE,3,CASES
1929,44,COLORADO,CO,US,STATE,4,CASES
1929,45,COLORADO,CO,US,STATE,3,CASES
1929,46,COLORADO,CO,US,STATE,4,CASES
1929,47,COLORADO,CO,US,STATE,5,CASES
1929,48,COLORADO,CO,US,STATE,7,CASES
1929,49,COLORADO,CO,US,STATE,12,CASES
1929,50,COLORADO,CO,US,STATE,9,CASES
1929,51,COLORADO,CO,US,STATE,27,CASES
1929,52,COLORADO,CO,US,STATE,14,CASES
1930,1,COLORADO,CO,US,STATE,18,CASES
1930,2,COLORADO,CO,US,STATE,69,CASES
1930,3,COLORADO,CO,US,STATE,26,CASES
1930,4,COLORADO,CO,US,STATE,40,CASES
1930,5,COLORADO,CO,US,STATE,101,CASES
1930,6,COLORADO,CO,US,STATE,101,CASES
1930,7,COLORADO,CO,US,STATE,65,CASES
1930,8,COLORADO,CO,US,STATE,170,CASES
1930,9,COLORADO,CO,US,STATE,150,CASES
1930,10,COLORADO,CO,US,STATE,256,CASES
1930,11,COLORADO,CO,US,STATE,170,CASES
1930,12,COLORADO,CO,US,STATE,347,CASES
1930,13,COLORADO,CO,US,STATE,487,CASES
1930,14,COLORADO,CO,US,STATE,728,CASES
1930,15,COLORADO,CO,US,STATE,950,CASES
1930,16,COLORADO,CO,US,STATE,930,CASES
1930,17,COLORADO,CO,US,STATE,993,CASES
1930,18,COLORADO,CO,US,STATE,826,CASES
1930,19,COLORADO,CO,US,STATE,884,CASES
1930,20,COLORADO,CO,US,STATE,641,CASES
1930,21,COLORADO,CO,US,STATE,749,CASES
1930,22,COLORADO,CO,US,STATE,686,CASES
1930,23,COLORADO,CO,US,STATE,503,CASES
1930,24,COLORADO,CO,US,STATE,320,CASES
1930,25,COLORADO,CO,US,STATE,286,CASES
1930,26,COLORADO,CO,US,STATE,171,CASES
1930,27,COLORADO,CO,US,STATE,160,CASES
1930,28,COLORADO,CO,US,STATE,68,CASES
1930,29,COLORADO,CO,US,STATE,52,CASES
1930,30,COLORADO,CO,US,STATE,23,CASES
1930,31,COLORADO,CO,US,STATE,18,CASES
1930,32,COLORADO,CO,US,STATE,11,CASES
1930,33,COLORADO,CO,US,STATE,12,CASES
1930,34,COLORADO,CO,US,STATE,4,CASES
